List Date,"Author (Last, First)",Title,Pub Date,Publisher,ISBN,Top Pick,Hall of Fame,Debut,Year-End Favorite List,Genre,Annotation,Nominator/Library,,,,,,,,,,,
2021/01, January 2021,,,,,,,,,,,,,,,,,,,,,,
2021/01,"Audrain, Ashley",The Push: A Novel,1/5/2021,Pamela Dorman Books,9781984881663,,,x,,,Blythe comes from a long line of women not cut out to be mothers. When she falls in love with a man who wants nothing more than a happy family she tells herself she can be a good mother. When her daughter is born however she finds that motherhood is just not that simple. For readers who enjoyed The Woman in the Window by AJ Finn or Baby Teeth by Zoje Stage.,"Linda Quinn, Fairfield Public Library, Fairfield, CT",,,,,,,,,,,
2021/01,"Benjamin, Melanie",The Children's Blizzard: A Novel,1/12/2021,Delacorte Press,9780399182280,,,,,,"“A deadly snowstorm roared through the Great Plains on January 12, 1888, at a time when many children were in school with teachers little older than themselves. Based on actual oral histories of survivors, and told from perspectives of teachers, students, and the media, this book is perfect for readers who enjoy historical fiction by Ariel Lawhon and Marie Benedict.”","Wendy Paige, Shelby County Public Library, Shelbyville, KY",,,,,,,,,,,
2021/01,"Hawkins, Rachel",The Wife Upstairs: A Novel,1/5/2021,St. Martin's Press,9781250245496,x,,,,,"“Mild-mannered Jane cobbles together a living as a dog walker for the wealthy residents of Thornfield Estates, when an encounter with Eddie Rochester turns into a whirlwind romance. But plain Jane has a mysterious past...and so does everyone else in this upscale neighborhood. Loosely inspired by Jane Eyre, this domestic suspense novel features the twists and turns that fans of the genre expect. Perfect for fans of Liv Constantine and Louise Candlish.”","Nanette Donohue, Champaign Public Library, Champaign, IL",,,,,,,,,,,
2021/01,"Hockman, Angie",Shipped,1/19/2021,Gallery Books,9781982151591,,,x,,,"Graeme and Henley are competing for the same job at their adventure cruise company. When their boss sends them on a familiarization trip of the company's cruise in the Galapagos the enemies to lovers’ plot gets steamy. For readers who enjoyed A Sweet Mess (Lee) and The Unhoneymooners (Lauren).""","Laura Bonds, Harris County Public Library, Houston, TX",,,,,,,,,,,
2021/01,"McGuire, Seanan",Across the Green Grass Fields,1/12/2021,Tordotcom,9781250213594,,x,,,,"“In under 200 pages, McGuire again perfectly creates a detailed and expansive fantasy world, this time in a lush tale of non-conformity and finding one’s place in the world. For all the girls, teens, and women who’ve felt confined by labels placed on them by others--this one’s for you.”","Annie Pruitt, West Georgia Regional Library Systems, Carrollton, GA",,,,,,,,,,,
2021/01,"North, Anna",Outlawed,1/5/2021,Bloomsbury,9781635575422,,,,,,"“Bank robberies and women's health may not seem like natural companions, but North weaves them together seamlessly in this alternate history Western. Cast out of her hometown for failure to get pregnant after a year of marriage, Ada joins the notorious Hole in the Wall Gang and becomes an outlaw, all the while seeking real information about pregnancy and fertility. For fans of Inland and The Power.”","Emily Calkins, King County Library System, Issaquah, WA",,,,,,,,,,,
2021/01,"O'Donnell, Paraic",The House on Vesper Sands,1/12/2021,Tin House Books,9781951142247,,,,,,"“Three stories—a mysterious suicide, a wayward young man searching for his uncle, and a young journalist investigating the story behind several missing girls—unfold before finally converging. The dark mood is palpable as Inspector Cutter, Gideon Bliss, and Octavia Hillingdon travel through Victorian London to fit the puzzle pieces together. Perfect for fans of The Night Circus and Jane Steele.”","Maribeth Fisher, Scotch Plain Public Library, Scotch Plains, NJ",,,,,,,,,,,
2021/01,"Okorafor, Nnedi",Remote Control,1/19/2021,Tordotcom,9781250772800,,,,,,"As a girl living in a future version of Ghana, Yatima was given an object from space that gave her the ability to emit a green light that brings death to all she touches. Now, as a young teen, she occasionally leaves death behind her as she searches for the alien object that was stolen from her. Afrofuturism, sci-fi, and magic. For readers who enjoyed The Fifth Season and Monstress.""","Katie Kalil, Sterling Library, Sterling, VA",,,,,,,,,,,
2021/01,"Rous, Emma",The Perfect Guests,1/12/2021,Berkley ,9780593201602,,,,,,"""When down-on-her-luck Sadie is offered a lucrative weekend acting job at a sumptuous Raven Hall, as a guest in a period mystery event, she jumps at the chance. Before the weekend is over, Sadie and the other ""perfect guests"" will learn about Raven Hall's tragic past. For readers who enjoyed [Would you like to offer a couple read-alikes?] Mexican Gothic and The Turn of the Key.""","Cynthia Hunt, Amarillo Public Library, Amarillo, TX",,,,,,,,,,,
