,isbn,variable,value,lr_my,author,title,pub_date,publisher,lr_top,lr_hof,debut,lr_yfav,genre,annotation,nom_lib_lr,permalink,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,hof_pd,hof_compare1,hof_compare2
20,9781982134198,genre_0,historical_fiction,2021/02,"Janet Charles, Janet",The Paris Library: A Novel,2021-02-09 00:00:00,atria books,0.0,0.0,0.0,,,"""Parallel narratives, one set in WWII Paris and the other in the U.S. in the 1980s, both featuring librarians and bookstore owners. Your patrons will love it. For fans of The Lions of Fifth Avenue by Fiona Davis and Sarah’s Key.""","Jennifer Schultz, Fauquier County Public Library, Warrenton, VA",https://lccn.loc.gov/2019043786,historical fiction,war stories,,,,,,,0.0,0.0,0.0
21,9780063005631,genre_0,,2021/02,"Johnson, Nancy",The Kindest Lie: A Novel,2021-02-02 00:00:00,william morrow,0.0,0.0,1.0,,,"“This debut novel begins on the eve of the 2008 election at a watch party hosted by Ruth and Xavier. Ruth must soon confess a secret: she had a child as a teenager, but walked away to begin a new life. When she returns to her hometown to sort things out, she begins a friendship with Midnight, a troubled 11-year-old white boy. Their interconnected paths are brilliantly told and explore themes of race, money, pride, and finding your way back home. For fans of Tayari Jones and Jacqueline Woodson.""","Ron Block, Cuyahoga Public Library, Cuyahoga, OH",,,,,,,,,,0.0,0.0,0.0
22,9781335912794,genre_0,,2021/02,"Mallery, Susan",The Vineyard at Painted Moon,2021-02-09 00:00:00,hqn books,0.0,0.0,0.0,,,"""Mackenzie is abruptly divorced, loses her job as winemaker at a prestigious family winery. She hasn't had to be on her own in years. Now she has all kinds of decisions to make. Great relationship fiction with the bonus of learning the inner workings of the wine industry. For fans of Kristin Hannah.""","Gail Christensen, Kitsap Regional Library, Bremerton, WA",,,,,,,,,,0.0,0.0,0.0
23,9780451492180,genre_0,,2021/02,"Meissner, Susan",The Nature of Fragile Things,2021-02-02 00:00:00,berkley,0.0,1.0,0.0,,,"“Just before the 1906 San Francisco earthquake, Sophie, a poor Irish immigrant, answers an ad from a man looking for a wife and mother to his child. Sophie is complex, strong and a bit mysterious, and details of the earthquake and subsequent fires add to the story’s depth.”","Ellen Firer, Merrick Library, Merrick, NY",https://lccn.loc.gov/2020022072,,,,,,,,,0.0,0.0,0.0
24,9780062878151,genre_0,,2021/02,"Rai, Alisha",First Comes Like: A Novel,2021-02-16 00:00:00,avon,0.0,1.0,0.0,,,"“Dev, actor and grandson of a Bollywood star, is making the move to U.S. cinema. He meets YouTube influencer Jai at a party and can’t get the encounter out of his mind. Wonderfully developed characters populate this sweet own-voices novel about falling in like, and then love.”","Heather Cover, Homewood Library, Birmingham, AL",,,,,,,,,,0.0,0.0,0.0
25,9780778311027,genre_0,,2021/02,"Rogers, Morgan",Honey Girl: A Novel,2021-02-23 00:00:00,park row books,0.0,0.0,1.0,,,"“One of the best parts of this book is the friendships. These friends listen to, support, and love each other. Grace Porter has just finished her PhD in astronomy and goes to Las Vegas to celebrate. While there, she meets a beautiful woman, Yuki, and by the end of the night, they are drunk and married. When Grace goes to New York to visit Yuki, they fall in love all over again. For fans of Queenie and The Bride Test.”","Patti Lang, Pima County Public Library, Tucson, AZ",,,,,,,,,,0.0,0.0,0.0
26,9780593158807,genre_0,war_stories,2021/02,"Ryan, Jennifer",The Kitchen Front: A Novel,2021-02-23 00:00:00,ballantine books,0.0,0.0,0.0,,,"""WWII era, Great Britain, four women vie for the chance to co-present a BBC radio program The Kitchen Front helping the housewives create healthful and tasty meals with their war rations. As these women compete against themselves and each other, the contest threatens to tear the community apart unless they can find common ground and work together for a common good. For readers who enjoyed The All-Girl Filling Station's Last Reunion and The Ship of Brides.""","Jennifer Winberry, Hunterdon County Library, Flemington, NJ",https://lccn.loc.gov/2020026377,war stories,,,,,,,,0.0,0.0,0.0
27,9780593099483,genre_0,love_stories,2021/02,"Young, Samantha",Much Ado About You,2021-02-02 00:00:00,berkley,0.0,0.0,0.0,,,"""Feeling overlooked in her career and her personal life, Shakespeare-loving Evie Starling takes a leap of faith and goes to Northern England to run the Much Ado About Books bookshop. There, she meets a very sexy farmer who makes her want to break her one and only rule for her trip: no men. For readers who loved ""The Tourist Attraction"" and ""Natalie Tan's Book of Luck and Fortune"".","Laura Collins, Lexington Main Library, Lexington, SC",https://lccn.loc.gov/2020020989,love stories,humorous fiction,,,,,,,0.0,0.0,0.0
28,9781984881663,genre_0,suspense_fiction,2021/01,"Audrain, Ashley",The Push: A Novel,2021-01-05 00:00:00,pamela dorman books,0.0,0.0,1.0,,,Blythe comes from a long line of women not cut out to be mothers. When she falls in love with a man who wants nothing more than a happy family she tells herself she can be a good mother. When her daughter is born however she finds that motherhood is just not that simple. For readers who enjoyed The Woman in the Window by AJ Finn or Baby Teeth by Zoje Stage.,"Linda Quinn, Fairfield Public Library, Fairfield, CT",https://lccn.loc.gov/2020010071,suspense fiction,,,,,,,,0.0,0.0,0.0
29,9780399182280,genre_0,historical_fiction,2021/01,"Benjamin, Melanie",The Children's Blizzard: A Novel,2021-01-12 00:00:00,delacorte press,0.0,0.0,0.0,,,"“A deadly snowstorm roared through the Great Plains on January 12, 1888, at a time when many children were in school with teachers little older than themselves. Based on actual oral histories of survivors, and told from perspectives of teachers, students, and the media, this book is perfect for readers who enjoy historical fiction by Ariel Lawhon and Marie Benedict.”","Wendy Paige, Shelby County Public Library, Shelbyville, KY",https://lccn.loc.gov/2020019690,historical fiction,domestic fiction,,,,,,,0.0,0.0,0.0
30,9781250245496,genre_0,love_stories,2021/01,"Hawkins, Rachel",The Wife Upstairs: A Novel,2021-01-05 00:00:00,st. martin's press,1.0,0.0,0.0,,,"“Mild-mannered Jane cobbles together a living as a dog walker for the wealthy residents of Thornfield Estates, when an encounter with Eddie Rochester turns into a whirlwind romance. But plain Jane has a mysterious past...and so does everyone else in this upscale neighborhood. Loosely inspired by Jane Eyre, this domestic suspense novel features the twists and turns that fans of the genre expect. Perfect for fans of Liv Constantine and Louise Candlish.”","Nanette Donohue, Champaign Public Library, Champaign, IL",https://lccn.loc.gov/2020035334,love stories,,,,,,,,0.0,0.0,0.0
31,9781982151591,genre_0,,2021/01,"Hockman, Angie",Shipped,2021-01-19 00:00:00,gallery books,0.0,0.0,1.0,,,"Graeme and Henley are competing for the same job at their adventure cruise company. When their boss sends them on a familiarization trip of the company's cruise in the Galapagos the enemies to lovers’ plot gets steamy. For readers who enjoyed A Sweet Mess (Lee) and The Unhoneymooners (Lauren).""","Laura Bonds, Harris County Public Library, Houston, TX",https://lccn.loc.gov/2020018851,,,,,,,,,0.0,0.0,0.0
32,9781250213594,genre_0,fantasy_fiction,2021/01,"McGuire, Seanan",Across the Green Grass Fields,2021-01-12 00:00:00,tor.com,0.0,1.0,0.0,,,"“In under 200 pages, McGuire again perfectly creates a detailed and expansive fantasy world, this time in a lush tale of non-conformity and finding one’s place in the world. For all the girls, teens, and women who’ve felt confined by labels placed on them by others--this one’s for you.”","Annie Pruitt, West Georgia Regional Library Systems, Carrollton, GA",https://lccn.loc.gov/2020038277,fantasy fiction,novels,,,,,,,0.0,0.0,0.0
33,9781635575422,genre_0,western_stories,2021/01,"North, Anna",Outlawed,2021-01-05 00:00:00,bloomsbury publishing,0.0,0.0,0.0,,,"“Bank robberies and women's health may not seem like natural companions, but North weaves them together seamlessly in this alternate history Western. Cast out of her hometown for failure to get pregnant after a year of marriage, Ada joins the notorious Hole in the Wall Gang and becomes an outlaw, all the while seeking real information about pregnancy and fertility. For fans of Inland and The Power.”","Emily Calkins, King County Library System, Issaquah, WA",https://lccn.loc.gov/2020023175,western stories,adventure fiction,,,,,,,0.0,0.0,0.0
34,9781951142247,genre_0,mystery_fiction,2021/01,"O'Donnell, Paraic",The House on Vesper Sands,2021-01-12 00:00:00,tin house books,0.0,0.0,0.0,,,"“Three stories—a mysterious suicide, a wayward young man searching for his uncle, and a young journalist investigating the story behind several missing girls—unfold before finally converging. The dark mood is palpable as Inspector Cutter, Gideon Bliss, and Octavia Hillingdon travel through Victorian London to fit the puzzle pieces together. Perfect for fans of The Night Circus and Jane Steele.”","Maribeth Fisher, Scotch Plain Public Library, Scotch Plains, NJ",https://lccn.loc.gov/2020034643,mystery fiction,,,,,,,,0.0,0.0,0.0
35,9781250772800,genre_0,science_fiction,2021/01,"Okorafor, Nnedi",Remote Control,2021-01-19 00:00:00,tor books,0.0,0.0,0.0,,,"As a girl living in a future version of Ghana, Yatima was given an object from space that gave her the ability to emit a green light that brings death to all she touches. Now, as a young teen, she occasionally leaves death behind her as she searches for the alien object that was stolen from her. Afrofuturism, sci-fi, and magic. For readers who enjoyed The Fifth Season and Monstress.""","Katie Kalil, Sterling Library, Sterling, VA",https://lccn.loc.gov/2020038238,science fiction,,,,,,,,0.0,0.0,0.0
36,9780593201602,genre_0,mystery_fiction,2021/01,"Rous, Emma",The Perfect Guests,2021-01-12 00:00:00,berkley,0.0,0.0,0.0,,,"""When down-on-her-luck Sadie is offered a lucrative weekend acting job at a sumptuous Raven Hall, as a guest in a period mystery event, she jumps at the chance. Before the weekend is over, Sadie and the other ""perfect guests"" will learn about Raven Hall's tragic past. For readers who enjoyed [Would you like to offer a couple read-alikes?] Mexican Gothic and The Turn of the Key.""","Cynthia Hunt, Amarillo Public Library, Amarillo, TX",https://lccn.loc.gov/2020018551,mystery fiction,,,,,,,,0.0,0.0,0.0
37,9780593200124,genre_0,love_stories,2021/01,"Solomon, Rachel Lynn",The Ex Talk,2021-01-26 00:00:00,berkley/jove,0.0,0.0,0.0,,,"“Shay's lifelong dream has been to be in radio, and she's been working at a Seattle NPR station since she was 19. Ten years later, she and new wunderkind Dominic create a show around the idea that they're exes talking about relationships. The burn between Shay and Dominic is slow, intense, and HOT. Give to fans of The Kiss Quotient and The Hating Game.”","Jessica Werner, Seattle Public Library, Seattle, WA",https://lccn.loc.gov/2020040938,love stories,,,,,,,,0.0,0.0,0.0
38,9781683691686,genre_0,,2021/01,"Tschida, Sam","Siri, Who Am I?: A Novel",2021-01-12 00:00:00,quirk books,0.0,0.0,1.0,,,"Mia awakes in a hospital in a gold cocktail dress, a cape covered in her blood, a head wound and her cell phone, and no memory of who she is or how she got there. She uses her Instagram account to begin to piece together her life. For readers who enjoyed Me (Kinsella) and What Alice Forgot (Moriarty).","Douglas Beatty, Baltimore County Public Library, Baltimore, MD",https://lccn.loc.gov/2019051818,,,,,,,,,0.0,0.0,0.0
39,9781250273017,genre_0,legal_stories,2020/12,"Abdullah, Kia",Take It Back: A Novel,2020-12-08 00:00:00,st. martin's press,0.0,0.0,1.0,,,"""Jodie, a teen with facial deformities accuses four Muslim boys of raping her after a party. Jodie’s mom, her best friend, and her classmates don’t believe her. The only one who believes her is Zara Kaleel, a former high powered attorney who now works as a sexual assault advocate. For fans of The Holdout by Graham Moore and Night Swim by Megan Goldin.""","Yvonne Selander, Somerset County Public Library, Bridgewater, NJ",https://lccn.loc.gov/2020028408,legal stories,suspense fiction,,,,,,,0.0,0.0,0.0
