,permalink,isbn,genres
118,https://lccn.loc.gov/2015016963,9781250049582,"['Mystery fiction', 'Humorous fiction.']"
119,https://lccn.loc.gov/2018056020,9780385541220,[]
120,https://lccn.loc.gov/2019055581,9780399587078,['Fantasy fiction.']
121,https://lccn.loc.gov/2019014759,9780062200679,[]
122,https://lccn.loc.gov/2018009802,9781451649437,[]
123,https://lccn.loc.gov/2018017352,9781501160790,[]
124,https://lccn.loc.gov/2019038629,9780593135235,['Love stories.']
125,https://lccn.loc.gov/2020020294,9781982108847,"['Occult fiction.', 'Historical fiction.']"
126,https://lccn.loc.gov/2015015990,9780399174124,['Suspense fiction']
127,https://lccn.loc.gov/2020040086,9781616207014,[]
128,https://lccn.loc.gov/2020038278,9781250213600,"['Fantasy fiction.', 'Novels.']"
129,https://lccn.loc.gov/2016011041,9780393241655,[]
130,https://lccn.loc.gov/2016023355,9780062563668,['Historical fiction.']
131,https://lccn.loc.gov/2019050012,9780451491756,['Suspense fiction.']
132,https://lccn.loc.gov/2016000554,9780393285543,"['Psychological fiction.', 'Domestic fiction.', 'Suspense fiction.']"
133,https://lccn.loc.gov/2020031469,9780063062344,"['Psychological fiction.', 'Suspense fiction.']"
134,https://lccn.loc.gov/2017945141,9780316556347,['Fantasy fiction.']
135,https://lccn.loc.gov/2019032510,9781982136451,['Horror fiction.']
136,https://lccn.loc.gov/2014656682,9781476705996,"['Love stories.', 'Fantasy fiction.']"
137,https://lccn.loc.gov/2016659251,9780425270189,['Love stories.']
138,https://lccn.loc.gov/2020275363,9781534439863,"['Fantasy fiction.', 'Fiction.', 'Fantasy fiction.', 'Fantasy fiction.']"
139,https://lccn.loc.gov/2020022385,9780593099940,"['Love stories.', 'Occult fiction.']"
140,https://lccn.loc.gov/2020009019,9780358197058,"['Fantasy fiction.', 'Mystery fiction.']"
141,https://lccn.loc.gov/2014034389,9781476789255,"['Domestic fiction.', 'Love stories.']"
142,https://lccn.loc.gov/2016046292,9781501116841,"['Psychological fiction.', 'Mystery fiction.']"
143,https://lccn.loc.gov/2014013493,9781616954239,"['Christmas stories.', 'Mystery fiction.', 'Regency fiction.']"
144,https://lccn.loc.gov/2020015957,9781727822905,['Biographical fiction.']
145,https://lccn.loc.gov/2019057270,9781524744625,[]
146,https://lccn.loc.gov/2013022221,9780062088253,['Suspense fiction.']
147,https://lccn.loc.gov/2020016133,9781984806130,['Love stories.']
148,https://lccn.loc.gov/2017295324,0451495586 (h,"['Love stories.', 'Domestic fiction.']"
149,https://lccn.loc.gov/2013023987,9780307958846,"['Historical fiction.', 'War stories.', 'Love stories.']"
150,https://lccn.loc.gov/2018001891,9781250164193,"['Biographical fiction.', 'Suspense fiction.']"
151,https://lccn.loc.gov/2016285210,9781101981207,[]
152,https://lccn.loc.gov/2017941582,9781683690139,"['Choose-your-own stories.', 'Fiction.', 'History.', 'Romance fiction.', 'Regency fiction.', 'Romance fiction.', 'Choose-your-own stories.']"
153,https://lccn.loc.gov/2016058705,9781101987797,"['Romantic suspense fiction.', 'Fantasy fiction.']"
154,https://lccn.loc.gov/2015013520,9781250063694,"['Mystery fiction.', 'Suspense fiction.']"
155,https://lccn.loc.gov/2015296685,9780544330146,"['Fiction.', 'Mystery fiction.']"
156,https://lccn.loc.gov/2017025378,9780735223493,[]
157,https://lccn.loc.gov/2016019580,9781250022134,['Mystery fiction.']
158,https://lccn.loc.gov/2015937874,9781940456362,"['Martial arts fiction.', 'Ghost stories.', 'Fiction.', 'Paranormal fiction.', 'Fantasy fiction.', 'Ghost stories fiction.', 'Paranormal fiction.', 'Ghost stories.']"
159,https://lccn.loc.gov/2014007547,9780062106070,"['Domestic fiction.', 'Love stories.']"
160,https://lccn.loc.gov/2014038003,9780062225467,"['Psychological fiction.', 'Mystery fiction.', 'Suspense fiction.']"
161,https://lccn.loc.gov/2013011007,9780345522023,"['Psychological fiction.', 'Suspense fiction.']"
162,https://lccn.loc.gov/2020023175,9781635575422,"['Western stories.', 'Adventure fiction.']"
163,https://lccn.loc.gov/2020004978,9781984805706,['Love stories.']
164,https://lccn.loc.gov/2016032868,9780385350907,"['Domestic fiction.', 'Historical fiction.']"
165,https://lccn.loc.gov/2020014702,9781728206141,['Love stories.']
166,https://lccn.loc.gov/2015019186,9780399174001,"['Psychological fiction.', 'Suspense fiction.', 'Mystery fiction.']"
167,https://lccn.loc.gov/2015933947,9780316176538,['Historical fiction.']
168,https://lccn.loc.gov/2013033308,9780143124733,[]
169,https://lccn.loc.gov/2014940681,9780316225939,"['Mystery fiction.', 'Suspense fiction.']"
170,https://lccn.loc.gov/2013014516,9780553808032,['Fantasy fiction.']
171,https://lccn.loc.gov/2017930437,9780316435314,"['Domestic fiction.', 'Domestic fiction.', 'Fiction.', 'Thrillers (Fiction)', 'Suspense fiction.', 'Domestic fiction.', 'Thrillers (Fiction)']"
172,https://lccn.loc.gov/2018050729,9780812992861,"['Western stories.', 'Ghost stories.']"
173,https://lccn.loc.gov/2018061045,9780425281291,['Fantasy fiction.']
174,https://lccn.loc.gov/2020019690,9780399182280,"['Domestic fiction.', 'Historical fiction.']"
175,https://lccn.loc.gov/2014029962,9780345539939,['Mystery fiction.']
176,https://lccn.loc.gov/2020301358,9780062938558,"['Humorous stories.', 'Fantasy fiction.', 'Fiction.', 'Humorous fiction.', 'Fantasy fiction.', 'Humorous fiction.', 'Fantasy fiction.', 'Humorous fiction.']"
177,https://lccn.loc.gov/2013008472,9780062014559,[]
178,https://lccn.loc.gov/2019300473,9780316449885,"['Humor.', 'Essays.', 'Popular works.', 'Essays.']"
179,https://lccn.loc.gov/2017031394,9781594488405,[]
180,https://lccn.loc.gov/2019009593,9781616209131,[]
181,https://lccn.loc.gov/2017478937,9780525522874,['Love stories.']
182,https://lccn.loc.gov/2015023225,9780345545961,"['Suspense fiction.', 'Mystery fiction.']"
183,https://lccn.loc.gov/2019303989,9780062958464,"['Humorous fiction.', 'Love stories.']"
184,https://lccn.loc.gov/2019059282,9780593156858,['Horror fiction.']
185,https://lccn.loc.gov/2020006857,9780593230954,[]
186,https://lccn.loc.gov/2018025769,9781501190094,['Suspense fiction.']
187,https://lccn.loc.gov/2013024717,9781250028969,['Mystery fiction.']
188,https://lccn.loc.gov/2017034431,9781492656623,[]
189,https://lccn.loc.gov/2013016952,9780812995862,"['Psychological fiction.', 'Suspense fiction']"
190,https://lccn.loc.gov/2020010399,9781250759665,['Suspense fiction.']
191,https://lccn.loc.gov/2014937378,9780316099752,['Domestic fiction.']
192,https://lccn.loc.gov/2016040904,9780425284025,['Fantasy fiction.']
193,https://lccn.loc.gov/2018013372,9780385544238,"['Black humor (Literature)', 'Satire.']"
194,https://lccn.loc.gov/2017044684,9780393608533,['Humorous fiction.']
195,https://lccn.loc.gov/2017009975,9780804178020,"['Psychological fiction.', 'Suspense fiction.']"
196,https://lccn.loc.gov/2020008654,9780593199329,['Fantasy fiction.']
197,https://lccn.loc.gov/2016018237,9780393293012,[]
198,https://lccn.loc.gov/2018053953,9780451490827,['Love stories.']
199,https://lccn.loc.gov/2019295617,9781984823014,[]
200,https://lccn.loc.gov/2016042308,9780451493583,"['Science fiction.', 'War stories.']"
201,https://lccn.loc.gov/2013047234,9781455553617,['Psychological fiction.']
202,https://lccn.loc.gov/2015004186,9780804177993,['Suspense fiction.']
203,https://lccn.loc.gov/2019020020,9780393652703,[]
204,https://lccn.loc.gov/2017037645,9780399590504,[]
205,https://lccn.loc.gov/2020020260,9781982137335,['Suspense fiction.']
206,https://lccn.loc.gov/2019033899,9780358164081,[]
207,https://lccn.loc.gov/2014032606,9780804179034,['Fantasy fiction.']
208,https://lccn.loc.gov/2020044147,9780593191217,['Love stories.']
