,isbn,variable,value
1894,9781335912794,genre_2,
1895,9780451492180,genre_2,
1896,9780062878151,genre_2,
1897,9780778311027,genre_2,
1898,9780593158807,genre_2,
1899,9780593099483,genre_2,
1900,9781984881663,genre_2,
1901,9780399182280,genre_2,
1902,9781250245496,genre_2,
1903,9781982151591,genre_2,
1904,9781250213594,genre_2,
1905,9781635575422,genre_2,
1906,9781951142247,genre_2,
1907,9781250772800,genre_2,
1908,9780593201602,genre_2,
1909,9780593200124,genre_2,
1910,9781683691686,genre_2,
1911,9781250273017,genre_2,
1912,9781492682721,genre_2,
1913,9780062457400,genre_2,
1914,9781984804785,genre_2,
1915,9780062933966,genre_2,
1916,9780593191200,genre_2,
1917,9781525810008,genre_2,
1918,9780063016408,genre_2,
1919,9781728215693,genre_2,
1920,9780525520351,genre_2,
1921,9781250624161,genre_2,
1922,9780778389330,genre_2,
1923,9780593101902,genre_2,
1924,9781250269546,genre_2,
1925,9780063000803,genre_2,
1926,9781594487330,genre_2,
1927,9780062955456,genre_2,
1928,9780593230954,genre_2,
1929,9781335430991,genre_2,
1930,9780062662620,genre_2,
1931,9780593198629,genre_2,
1932,9780593198124,genre_2,
1933,9781984803160,genre_2,
1934,9781641292696,genre_2,
1935,9781982100599,genre_2,
1936,9781984806130,genre_2,
1937,9780062667632,genre_2,
1938,9781250767028,genre_2,
1939,9780063005549,genre_2,
1940,9780062942852,genre_2,
1941,9780593133842,genre_2,
1942,9780735224650,genre_2,
1943,9780316422048,genre_2,
1944,9781982108847,genre_2,
1945,9781982137335,genre_2,
1946,9780593132852,genre_2,
1947,9781982123949,genre_2,
1948,9780062881922,genre_2,psychological fiction
1949,9781534437678,genre_2,
1950,9780765387561,genre_2,
1951,9780778310150,genre_2,
1952,9781501160837,genre_2,
1953,9780062872937,genre_2,
1954,9780593199305,genre_2,
1955,9781635575637,genre_2,
1956,9780062982650,genre_2,
1957,9780593101605,genre_2,
1958,9781984805409,genre_2,
1959,9781984805706,genre_2,
1960,9780525658184,genre_2,
1961,9780525559474,genre_2,
1962,9780062969651,genre_2,
1963,9780593128480,genre_2,
1964,9780062968500,genre_2,
1965,9781984818355,genre_2,
1966,9781250198709,genre_2,
1967,9781501188817,genre_2,
1968,9780062878366,genre_2,
1969,9780062890078,genre_2,
1970,9780062959928,genre_2,
1971,9781524744618,genre_2,
1972,9781250219688,genre_2,
1973,9781524733452,genre_2,
1974,9780062356345,genre_2,
1975,9781984803276,genre_2,
1976,9781250313225,genre_2,
1977,9781250769862,genre_2,
1978,9780062858108,genre_2,
1979,9780593230251,genre_2,
1980,9780451464415,genre_2,
1981,9781250142894,genre_2,
1982,9781250219367,genre_2,
1983,9781538715918,genre_2,
1984,9781984821348,genre_2,fiction
1985,9780802149121,genre_2,
1986,9781728206141,genre_2,
1987,9781982136451,genre_2,
1988,9780593156858,genre_2,
1989,9780525510444,genre_2,
1990,9780062679161,genre_2,apocalyptic fiction
1991,9780062248572,genre_2,biographies
1992,9780062914095,genre_2,
1993,9780525536291,genre_2,
1994,9781984826787,genre_2,
1995,9780062678164,genre_2,
1996,9781728215723,genre_2,
1997,9780062868930,genre_2,
1998,9780399178955,genre_2,
1999,9780593100813,genre_2,
2000,9780062941237,genre_2,
2001,9781501165429,genre_2,
2002,9780525620785,genre_2,
2003,9781250151360,genre_2,
2004,9780062973054,genre_2,
2005,9781538716625,genre_2,
2006,9781524745172,genre_2,psychological fiction
2007,9781984803627,genre_2,
2008,9780062967282,genre_2,
2009,9780062839077,genre_2,
2010,9781984806239,genre_2,
2011,9781984806734,genre_2,
2012,9781250248732,genre_2,
2013,9780062367686,genre_2,
2014,9780399590917,genre_2,
2015,9781594634697,genre_2,
2016,9781501133510,genre_2,
2017,9781250229861,genre_2,
2018,9780593102527,genre_2,
2019,9780451491756,genre_2,
2020,9781683691433,genre_2,
2021,9781250154224,genre_2,
2022,9780593085424,genre_2,
2023,9781538715642,genre_2,
2024,9781250149442,genre_2,
2025,9780525429760,genre_2,
2026,9780062878137,genre_2,
2027,9780358164081,genre_2,
2028,9781984819888,genre_2,
2029,9781984806116,genre_2,
2030,9780385544801,genre_2,
2031,9781250237279,genre_2,
2032,9780593098660,genre_2,
2033,9781982145217,genre_2,
2034,9780062958501,genre_2,
2035,9780451490742,genre_2,
2036,9780062941503,genre_2,
2037,9781982137441,genre_2,
2038,9780593135235,genre_2,
2039,9780525521143,genre_2,
2040,9780062838209,genre_2,
2041,9780593100066,genre_2,
2042,9780062914804,genre_2,
2043,9781942658702,genre_2,
2044,9780778369110,genre_2,
2045,9780385348713,genre_2,
2046,9780451492074,genre_2,
2047,9781250236609,genre_2,
2048,9781984878618,genre_2,
2049,9781250207203,genre_2,
2050,9781250219596,genre_2,
2051,9780062909879,genre_2,
2052,9780440000174,genre_2,
2053,9781984820150,genre_2,
2054,9781525836268,genre_2,
2055,9780062872852,genre_2,humorous fiction
2056,9780062931092,genre_2,novels
2057,9781492666905,genre_2,
2058,9781250087331,genre_2,
2059,9780062938558,genre_2,fiction
2060,9781250209764,genre_2,
2061,9781984805171,genre_2,
2062,9781982126766,genre_2,
2063,9780525540670,genre_2,domestic fiction
2064,9781984854780,genre_2,
2065,9781984806468,genre_2,
2066,9781525805981,genre_2,
2067,9780062913722,genre_2,
2068,9780778330776,genre_2,
2069,9781525809781,genre_2,
2070,9780593100349,genre_2,
2071,9780525541905,genre_2,
2072,9781524742904,genre_2,
2073,9780593099131,genre_2,
2074,9781643851631,genre_2,psychological fiction
2075,9780525542315,genre_2,fiction
2076,9781984806093,genre_2,
2077,9781984855176,genre_2,
2078,9781984802682,genre_2,
2079,9780062964564,genre_2,
2080,9781250103482,genre_2,
2081,9780062941206,genre_2,fiction
2082,9781501190100,genre_2,fiction
2083,9781643851358,genre_2,
2084,9780385541213,genre_2,
2085,9780316485340,genre_2,
2086,9781534439863,genre_2,
2087,9780316449885,genre_2,humor
2088,9781250313072,genre_2,
2089,9780385539302,genre_2,
2090,9781538731338,genre_2,
2091,9781984805423,genre_2,
2092,9781616209131,genre_2,
2093,9781984802217,genre_2,
2094,9781984806376,genre_2,
