,isbn,predicted_genre
575,9781594203985,1.0
576,9781492637257,1.0
577,9780399184512,3.0
578,9781250057181,1.0
579,9780670026333,2.0
580,9780544527959,2.0
581,9781250090034,2.0
582,9780062409201,5.0
583,9780345544957,1.0
584,9780316403436,1.0
585,9780345540676,1.0
586,9781250103420,3.0
587,9780345539960,2.0
588,9781101988664,1.0
589,9780062467256,1.0
590,9781616206178,1.0
591,9780451495976,1.0
592,9781501133862,2.0
593,9780062491794,1.0
594,9780393293012,1.0
595,9781632864499,1.0
596,9781250078551,1.0
597,9781101984994,3.0
598,9780393241655,1.0
599,9780735221086,2.0
600,9780812996395,2.0
601,9781101981207,1.0
602,9781250121004,2.0
603,9781250022134,2.0
604,9780062405616,6.0
605,9781101991633,2.0
606,9781250061577,2.0
607,9781101875612,1.0
608,9781101904220,1.0
609,9780399165214,1.0
610,9780393241686,2.0
611,9781250069795,1.0
612,9781101965085,3.0
613,9780385541404,6.0
614,9781250097910,2.0
615,9781501132933,2.0
616,9780143108573,3.0
617,9781101988640,1.0
618,9781250063700,2.0
619,9781101947135,1.0
620,9780385540599,3.0
621,9780316228046,1.0
622,9780393245448,1.0
623,9781501126222,1.0
624,9780812998320,2.0
625,9780804141260,1.0
626,9781250092144,2.0
627,9781501142536,1.0
628,9781501124372,6.0
629,9781101875940,1.0
630,9780312380366,2.0
631,9780062200631,1.0
632,9780062083456,2.0
633,9781101987490,3.0
634,9780393285543,3.0
635,9780385540162,1.0
636,9781476777405,1.0
637,9781101883075,5.0
638,9780804177900,2.0
639,9780373789764,1.0
640,9781605989747,2.0
641,9780765385505,4.0
642,9781501121043,1.0
643,9780399174469,2.0
644,9780399175169,6.0
645,9781400068326,6.0
646,9780451474476,1.0
647,9781101875599,2.0
648,9780525955092,2.0
649,9780399169496,1.0
650,9781501124211,3.0
651,9781451686630,3.0
652,9780062388148,6.0
653,9780812993103,1.0
654,9781616205027,1.0
655,9780062414212,1.0
656,9780143128489,1.0
657,9780399174124,3.0
658,9780373789177,1.0
659,9780525954576,2.0
660,9781612195001,3.0
661,9780062105684,2.0
662,9780062413710,1.0
663,9780385540025,5.0
664,9780553391923,6.0
665,9780399160301,1.0
666,9780345528698,1.0
667,9781492623441,3.0
668,9780385539289,1.0
669,9781250074539,2.0
670,9780385541039,1.0
671,9781250051905,6.0
672,9780345545961,2.0
673,9780062413864,3.0
674,9780316342513,3.0
675,9781400067695,1.0
676,9781501116971,6.0
677,9781940456362,4.0
678,9780374290252,1.0
679,9780385539463,1.0
680,9780425260746,2.0
681,9781501107832,1.0
682,9781455525928,3.0
683,9781101874141,4.0
684,9781616203573,5.0
685,9780399171314,6.0
686,9780385540353,1.0
687,9780670025770,1.0
688,9780062351425,1.0
689,9780525954330,2.0
690,9780385353779,2.0
691,9780393248678,1.0
692,9780812998689,2.0
693,9781616204136,1.0
694,9780525426592,6.0
695,9781250069177,2.0
696,9781492617891,3.0
697,9780804178778,2.0
698,9781476798172,1.0
699,9780062390547,2.0
700,9781616202613,1.0
701,9781594634475,6.0
702,9780393239294,2.0
703,9781250077004,1.0
704,9780544409910,5.0
705,9780399174001,2.0
706,9781250049582,1.0
707,9781250077172,1.0
708,9781605988443,1.0
709,9781501105432,1.0
710,9781616204204,1.0
711,9781631490477,1.0
712,9780804177993,3.0
713,9781451693591,6.0
714,9781250022080,2.0
715,9781501112317,3.0
716,9780761184997,1.0
717,9780062364838,1.0
718,9781476743653,3.0
719,9780373780129,1.0
720,9780345534187,1.0
721,9780345544049,2.0
722,9781476776880,6.0
723,9781455586738,6.0
724,9781250034588,3.0
725,9780525429142,1.0
726,9781501115066,1.0
727,9780385342940,5.0
728,9781101875049,1.0
729,9781476789255,6.0
